Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,68,68,68
0,0,0,0,0,1,1,68,68,68
0,0,0,0,1,0,1,68,68,68
0,0,0,0,1,1,1,68,68,68
0,0,0,1,0,0,1,68,68,68
0,0,0,1,0,1,1,68,68,68
0,0,0,1,1,0,1,68,68,68
0,0,0,1,1,1,1,68,68,68
0,0,1,0,0,0,1,68,68,48
0,0,1,0,0,1,1,68,68,48
0,0,1,0,1,0,1,68,68,48
0,0,1,0,1,1,1,68,68,48
0,0,1,1,0,0,1,68,68,48
0,0,1,1,0,1,1,68,68,48
0,0,1,1,1,0,1,68,68,48
0,0,1,1,1,1,1,68,68,48
0,1,0,0,0,0,1,68,68,68
0,1,0,0,0,1,1,68,68,68
0,1,0,0,1,0,1,68,68,68
0,1,0,0,1,1,1,68,68,68
0,1,0,1,0,0,1,68,68,68
0,1,0,1,0,1,1,68,68,68
0,1,0,1,1,0,1,68,68,68
0,1,0,1,1,1,1,68,68,68
0,1,1,0,0,0,1,68,68,48
0,1,1,0,0,1,1,68,68,48
0,1,1,0,1,0,1,68,68,48
0,1,1,0,1,1,1,68,68,48
0,1,1,1,0,0,1,68,68,48
0,1,1,1,0,1,1,68,68,48
0,1,1,1,1,0,1,68,68,48
0,1,1,1,1,1,1,68,68,48
1,0,0,0,0,0,-1,54,54,54
1,0,0,0,0,1,-1,54,54,54
1,0,0,0,1,0,-1,54,54,54
1,0,0,0,1,1,-1,54,54,54
1,0,0,1,0,0,-1,54,54,54
1,0,0,1,0,1,-1,54,54,54
1,0,0,1,1,0,-1,54,54,54
1,0,0,1,1,1,-1,54,54,54
1,0,1,0,0,0,-1,54,54,48
1,0,1,0,0,1,-1,54,54,48
1,0,1,0,1,0,-1,54,54,48
1,0,1,0,1,1,-1,54,54,48
1,0,1,1,0,0,-1,54,54,48
1,0,1,1,0,1,-1,54,54,48
1,0,1,1,1,0,-1,54,54,48
1,0,1,1,1,1,-1,54,54,48
1,1,0,0,0,0,-1,54,54,54
1,1,0,0,0,1,-1,54,54,54
1,1,0,0,1,0,-1,54,54,54
1,1,0,0,1,1,-1,54,54,54
1,1,0,1,0,0,-1,54,54,54
1,1,0,1,0,1,-1,54,54,54
1,1,0,1,1,0,-1,54,54,54
1,1,0,1,1,1,-1,54,54,54
1,1,1,0,0,0,-1,54,54,48
1,1,1,0,0,1,-1,54,54,48
1,1,1,0,1,0,-1,54,54,48
1,1,1,0,1,1,-1,54,54,48
1,1,1,1,0,0,-1,54,54,48
1,1,1,1,0,1,-1,54,54,48
1,1,1,1,1,0,-1,54,54,48
1,1,1,1,1,1,-1,54,54,48
0,-1,1,-1,-1,-1,0,76,76,48
0,-1,0,-1,-1,-1,0,76,76,68
