Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,68,68,52
0,0,0,0,0,1,1,68,68,52
0,0,0,0,1,0,1,68,68,52
0,0,0,0,1,1,1,68,68,52
0,0,0,1,0,0,1,68,68,52
0,0,0,1,0,1,1,68,68,52
0,0,0,1,1,0,1,68,68,52
0,0,0,1,1,1,1,68,68,52
0,0,1,0,0,0,1,68,68,52
0,0,1,0,0,1,1,68,68,52
0,0,1,0,1,0,1,68,68,52
0,0,1,0,1,1,1,68,68,52
0,0,1,1,0,0,1,68,68,52
0,0,1,1,0,1,1,68,68,52
0,0,1,1,1,0,1,68,68,52
0,0,1,1,1,1,1,68,68,52
0,1,0,0,0,0,1,68,68,52
0,1,0,0,0,1,1,68,68,52
0,1,0,0,1,0,1,68,68,52
0,1,0,0,1,1,1,68,68,52
0,1,0,1,0,0,1,68,68,52
0,1,0,1,0,1,1,68,68,52
0,1,0,1,1,0,1,68,68,52
0,1,0,1,1,1,1,68,68,52
0,1,1,0,0,0,1,68,68,52
0,1,1,0,0,1,1,68,68,52
0,1,1,0,1,0,1,68,68,52
0,1,1,0,1,1,1,68,68,52
0,1,1,1,0,0,1,68,68,52
0,1,1,1,0,1,1,68,68,52
0,1,1,1,1,0,1,68,68,52
0,1,1,1,1,1,1,68,68,52
1,0,0,0,0,0,-1,68,68,52
1,0,0,0,0,1,-1,68,68,52
1,0,0,0,1,0,-1,68,68,52
1,0,0,0,1,1,-1,68,68,52
1,0,0,1,0,0,-1,68,68,52
1,0,0,1,0,1,-1,68,68,52
1,0,0,1,1,0,-1,68,68,52
1,0,0,1,1,1,-1,68,68,52
1,0,1,0,0,0,-1,68,68,52
1,0,1,0,0,1,-1,68,68,52
1,0,1,0,1,0,-1,68,68,52
1,0,1,0,1,1,-1,68,68,52
1,0,1,1,0,0,-1,68,68,52
1,0,1,1,0,1,-1,68,68,52
1,0,1,1,1,0,-1,68,68,52
1,0,1,1,1,1,-1,68,68,52
1,1,0,0,0,0,-1,68,68,52
1,1,0,0,0,1,-1,68,68,52
1,1,0,0,1,0,-1,68,68,52
1,1,0,0,1,1,-1,68,68,52
1,1,0,1,0,0,-1,68,68,52
1,1,0,1,0,1,-1,68,68,52
1,1,0,1,1,0,-1,68,68,52
1,1,0,1,1,1,-1,68,68,52
1,1,1,0,0,0,-1,68,68,52
1,1,1,0,0,1,-1,68,68,52
1,1,1,0,1,0,-1,68,68,52
1,1,1,0,1,1,-1,68,68,52
1,1,1,1,0,0,-1,68,68,52
1,1,1,1,0,1,-1,68,68,52
1,1,1,1,1,0,-1,68,68,52
1,1,1,1,1,1,-1,68,68,52
0,-1,-1,-1,-1,-1,0,76,76,52
