Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,64,64,34
0,0,0,0,0,1,1,64,64,34
0,0,0,0,1,0,1,64,64,34
0,0,0,0,1,1,1,64,64,34
0,0,0,1,0,0,1,64,64,34
0,0,0,1,0,1,1,64,64,34
0,0,0,1,1,0,1,64,64,34
0,0,0,1,1,1,1,64,64,34
0,0,1,0,0,0,1,64,64,34
0,0,1,0,0,1,1,64,64,34
0,0,1,0,1,0,1,64,64,34
0,0,1,0,1,1,1,64,64,34
0,0,1,1,0,0,1,64,64,34
0,0,1,1,0,1,1,64,64,34
0,0,1,1,1,0,1,64,64,34
0,0,1,1,1,1,1,64,64,34
0,1,0,0,0,0,1,64,64,34
0,1,0,0,0,1,1,64,64,34
0,1,0,0,1,0,1,64,64,34
0,1,0,0,1,1,1,64,64,34
0,1,0,1,0,0,1,64,64,34
0,1,0,1,0,1,1,64,64,34
0,1,0,1,1,0,1,64,64,34
0,1,0,1,1,1,1,64,64,34
0,1,1,0,0,0,1,64,64,34
0,1,1,0,0,1,1,64,64,34
0,1,1,0,1,0,1,64,64,34
0,1,1,0,1,1,1,64,64,34
0,1,1,1,0,0,1,64,64,34
0,1,1,1,0,1,1,64,64,34
0,1,1,1,1,0,1,64,64,34
0,1,1,1,1,1,1,64,64,34
1,0,0,0,0,0,-1,64,64,34
1,0,0,0,0,1,-1,64,64,34
1,0,0,0,1,0,-1,64,64,34
1,0,0,0,1,1,-1,64,64,34
1,0,0,1,0,0,-1,64,64,34
1,0,0,1,0,1,-1,64,64,34
1,0,0,1,1,0,-1,64,64,34
1,0,0,1,1,1,-1,64,64,34
1,0,1,0,0,0,-1,64,64,34
1,0,1,0,0,1,-1,64,64,34
1,0,1,0,1,0,-1,64,64,34
1,0,1,0,1,1,-1,64,64,34
1,0,1,1,0,0,-1,64,64,34
1,0,1,1,0,1,-1,64,64,34
1,0,1,1,1,0,-1,64,64,34
1,0,1,1,1,1,-1,64,64,34
1,1,0,0,0,0,-1,64,64,34
1,1,0,0,0,1,-1,64,64,34
1,1,0,0,1,0,-1,64,64,34
1,1,0,0,1,1,-1,64,64,34
1,1,0,1,0,0,-1,64,64,34
1,1,0,1,0,1,-1,64,64,34
1,1,0,1,1,0,-1,64,64,34
1,1,0,1,1,1,-1,64,64,34
1,1,1,0,0,0,-1,64,64,34
1,1,1,0,0,1,-1,64,64,34
1,1,1,0,1,0,-1,64,64,34
1,1,1,0,1,1,-1,64,64,34
1,1,1,1,0,0,-1,64,64,34
1,1,1,1,0,1,-1,64,64,34
1,1,1,1,1,0,-1,64,64,34
1,1,1,1,1,1,-1,64,64,34
0,-1,-1,-1,-1,-1,0,64,64,34
