Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,62,62,48
0,0,0,0,0,1,1,62,62,48
0,0,0,0,1,0,1,62,62,48
0,0,0,0,1,1,1,62,62,48
0,0,0,1,0,0,1,62,62,48
0,0,0,1,0,1,1,62,62,48
0,0,0,1,1,0,1,62,62,48
0,0,0,1,1,1,1,62,62,48
0,0,1,0,0,0,1,62,62,24
0,0,1,0,0,1,1,62,62,24
0,0,1,0,1,0,1,62,62,24
0,0,1,0,1,1,1,62,62,24
0,0,1,1,0,0,1,62,62,24
0,0,1,1,0,1,1,62,62,24
0,0,1,1,1,0,1,62,62,24
0,0,1,1,1,1,1,62,62,24
0,1,0,0,0,0,1,62,62,48
0,1,0,0,0,1,1,62,62,48
0,1,0,0,1,0,1,62,62,48
0,1,0,0,1,1,1,62,62,48
0,1,0,1,0,0,1,62,62,48
0,1,0,1,0,1,1,62,62,48
0,1,0,1,1,0,1,62,62,48
0,1,0,1,1,1,1,62,62,48
0,1,1,0,0,0,1,62,62,24
0,1,1,0,0,1,1,62,62,24
0,1,1,0,1,0,1,62,62,24
0,1,1,0,1,1,1,62,62,24
0,1,1,1,0,0,1,62,62,24
0,1,1,1,0,1,1,62,62,24
0,1,1,1,1,0,1,62,62,24
0,1,1,1,1,1,1,62,62,24
1,0,0,0,0,0,-1,40,40,48
1,0,0,0,0,1,-1,40,40,48
1,0,0,0,1,0,-1,40,40,48
1,0,0,0,1,1,-1,40,40,48
1,0,0,1,0,0,-1,40,40,48
1,0,0,1,0,1,-1,40,40,48
1,0,0,1,1,0,-1,40,40,48
1,0,0,1,1,1,-1,40,40,48
1,0,1,0,0,0,-1,40,40,24
1,0,1,0,0,1,-1,40,40,24
1,0,1,0,1,0,-1,40,40,24
1,0,1,0,1,1,-1,40,40,24
1,0,1,1,0,0,-1,40,40,24
1,0,1,1,0,1,-1,40,40,24
1,0,1,1,1,0,-1,40,40,24
1,0,1,1,1,1,-1,40,40,24
1,1,0,0,0,0,-1,40,40,48
1,1,0,0,0,1,-1,40,40,48
1,1,0,0,1,0,-1,40,40,48
1,1,0,0,1,1,-1,40,40,48
1,1,0,1,0,0,-1,40,40,48
1,1,0,1,0,1,-1,40,40,48
1,1,0,1,1,0,-1,40,40,48
1,1,0,1,1,1,-1,40,40,48
1,1,1,0,0,0,-1,40,40,24
1,1,1,0,0,1,-1,40,40,24
1,1,1,0,1,0,-1,40,40,24
1,1,1,0,1,1,-1,40,40,24
1,1,1,1,0,0,-1,40,40,24
1,1,1,1,0,1,-1,40,40,24
1,1,1,1,1,0,-1,40,40,24
1,1,1,1,1,1,-1,40,40,24
0,-1,-1,-1,-1,-1,0,76,76,52
