Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,56,56,56
0,0,0,0,0,1,1,56,56,56
0,0,0,0,1,0,1,56,56,56
0,0,0,0,1,1,1,56,56,56
0,0,0,1,0,0,1,56,56,56
0,0,0,1,0,1,1,56,56,56
0,0,0,1,1,0,1,56,56,56
0,0,0,1,1,1,1,56,56,56
0,0,1,0,0,0,1,56,56,28
0,0,1,0,0,1,1,56,56,28
0,0,1,0,1,0,1,56,56,28
0,0,1,0,1,1,1,56,56,28
0,0,1,1,0,0,1,56,56,28
0,0,1,1,0,1,1,56,56,28
0,0,1,1,1,0,1,56,56,28
0,0,1,1,1,1,1,56,56,28
0,1,0,0,0,0,1,56,56,56
0,1,0,0,0,1,1,56,56,56
0,1,0,0,1,0,1,56,56,56
0,1,0,0,1,1,1,56,56,56
0,1,0,1,0,0,1,56,56,56
0,1,0,1,0,1,1,56,56,56
0,1,0,1,1,0,1,56,56,56
0,1,0,1,1,1,1,56,56,56
0,1,1,0,0,0,1,56,56,28
0,1,1,0,0,1,1,56,56,28
0,1,1,0,1,0,1,56,56,28
0,1,1,0,1,1,1,56,56,28
0,1,1,1,0,0,1,56,56,28
0,1,1,1,0,1,1,56,56,28
0,1,1,1,1,0,1,56,56,28
0,1,1,1,1,1,1,56,56,28
1,0,0,0,0,0,-1,42,42,42
1,0,0,0,0,1,-1,42,42,42
1,0,0,0,1,0,-1,42,42,42
1,0,0,0,1,1,-1,42,42,42
1,0,0,1,0,0,-1,42,42,42
1,0,0,1,0,1,-1,42,42,42
1,0,0,1,1,0,-1,42,42,42
1,0,0,1,1,1,-1,42,42,42
1,0,1,0,0,0,-1,42,42,28
1,0,1,0,0,1,-1,42,42,28
1,0,1,0,1,0,-1,42,42,28
1,0,1,0,1,1,-1,42,42,28
1,0,1,1,0,0,-1,42,42,28
1,0,1,1,0,1,-1,42,42,28
1,0,1,1,1,0,-1,42,42,28
1,0,1,1,1,1,-1,42,42,28
1,1,0,0,0,0,-1,42,42,42
1,1,0,0,0,1,-1,42,42,42
1,1,0,0,1,0,-1,42,42,42
1,1,0,0,1,1,-1,42,42,42
1,1,0,1,0,0,-1,42,42,42
1,1,0,1,0,1,-1,42,42,42
1,1,0,1,1,0,-1,42,42,42
1,1,0,1,1,1,-1,42,42,42
1,1,1,0,0,0,-1,42,42,28
1,1,1,0,0,1,-1,42,42,28
1,1,1,0,1,0,-1,42,42,28
1,1,1,0,1,1,-1,42,42,28
1,1,1,1,0,0,-1,42,42,28
1,1,1,1,0,1,-1,42,42,28
1,1,1,1,1,0,-1,42,42,28
1,1,1,1,1,1,-1,42,42,28
0,-1,0,-1,-1,-1,0,76,76,56
0,-1,1,-1,-1,-1,0,76,76,28
