Head,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothPower
0,0,0,0,0,1,64
0,0,0,0,1,1,64
0,0,0,1,0,1,64
0,0,0,1,1,1,64
0,0,1,0,0,1,64
0,0,1,0,1,1,64
0,0,1,1,0,1,64
0,0,1,1,1,1,64
0,1,0,0,0,1,64
0,1,0,0,1,1,54
0,1,0,1,0,1,64
0,1,0,1,1,1,54
0,1,1,0,0,1,64
0,1,1,0,1,1,54
0,1,1,1,0,1,64
0,1,1,1,1,1,54
1,0,0,0,0,-1,38
1,0,0,0,1,-1,38
1,0,0,1,0,-1,38
1,0,0,1,1,-1,38
1,0,1,0,0,-1,38
1,0,1,0,1,-1,38
1,0,1,1,0,-1,38
1,0,1,1,1,-1,38
1,1,0,0,0,-1,38
1,1,0,0,1,-1,38
1,1,0,1,0,-1,38
1,1,0,1,1,-1,38
1,1,1,0,0,-1,38
1,1,1,0,1,-1,38
1,1,1,1,0,-1,38
1,1,1,1,1,-1,38
0,-1,-1,-1,-1,0,64
